Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Variant Image,Variant Weight Unit,Status
gildan-5000-heavy-cotton-t-shirt,Gildan 5000 | Heavy Cotton T-Shirt,"<p>Create your own custom t-shirt with GTA Print Lab. Upload your design or logo directly from your phone or computer, position it to your liking, and choose the sizes and quantities you need. Printed in full colour on durable 100% cotton fabric.</p>",GTA Print Lab,Men/Unisex,"rush-production-eligible, Under 10",TRUE,Color,Black,Size,SM,# of Print Areas,1 Print Area,GILDAN_5000_BLACK_SM_01,0,,,continue,manual,18.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/5000black.jpg?v=1753357491,1,,FALSE,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,active
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,SM,,2 Print Areas,GILDAN_5000_BLACK_SM_02,0,,,continue,manual,28.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,SM,,3 Print Areas,GILDAN_5000_BLACK_SM_03,0,,,continue,manual,38.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,SM,,4 Print Areas,GILDAN_5000_BLACK_SM_04,0,,,continue,manual,48.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,MD,,1 Print Area,GILDAN_5000_BLACK_MD_01,0,,,continue,manual,18.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,MD,,2 Print Areas,GILDAN_5000_BLACK_MD_02,0,,,continue,manual,28.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,MD,,3 Print Areas,GILDAN_5000_BLACK_MD_03,0,,,continue,manual,38.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,MD,,4 Print Areas,GILDAN_5000_BLACK_MD_04,0,,,continue,manual,48.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,LG,,1 Print Area,GILDAN_5000_BLACK_LG_01,0,,,continue,manual,18.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,LG,,2 Print Areas,GILDAN_5000_BLACK_LG_02,0,,,continue,manual,28.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,LG,,3 Print Areas,GILDAN_5000_BLACK_LG_03,0,,,continue,manual,38.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,LG,,4 Print Areas,GILDAN_5000_BLACK_LG_04,0,,,continue,manual,48.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,XL,,1 Print Area,GILDAN_5000_BLACK_XL_01,0,,,continue,manual,18.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,XL,,2 Print Areas,GILDAN_5000_BLACK_XL_02,0,,,continue,manual,28.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,XL,,3 Print Areas,GILDAN_5000_BLACK_XL_03,0,,,continue,manual,38.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,XL,,4 Print Areas,GILDAN_5000_BLACK_XL_04,0,,,continue,manual,48.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,2XL,,1 Print Area,GILDAN_5000_BLACK_2XL_01,0,,,continue,manual,22.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,2XL,,2 Print Areas,GILDAN_5000_BLACK_2XL_02,0,,,continue,manual,32.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,g,
