Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Variant Image,Variant Weight Unit,Status
gildan-5000-heavy-cotton-t-shirt,Gildan 5000 | Heavy Cotton T-Shirt,"<h3>Create Your Own Custom T-Shirt with Printeez!</h3>
<p>Upload your design or logo directly from your phone or computer, position it to your liking, and choose the sizes and quantities you want to order. 😎</p>
<p> </p>
<p>All orders are carefully reviewed by our team—we’ll make all necessary artwork revisions and ensure your file prints perfectly.</p>
<ul>
<li>Relaxed, unisex fit</li>
<li>5.3 oz./yd² (US) 8.8 oz./L yd (CA), 100% cotton, 20 singles</li>
<li>Rib collar</li>
<li>Taped neck and shoulders for comfort and durability<br>
</li>
<li>Responsibly sourced garment</li>
<li>Superb Printeez print quality</li>
</ul>",GTA Print Lab,Men/Unisex,"rush-production-eligible, Under 10",TRUE,Color,Black,Size,SM,# of Print Areas,1 Print Area,GILDAN_5000_BLACK_S_01,0,,,continue,manual,18.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/5000black.jpg?v=1753357491,1,,FALSE,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,active
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,SM,,2 Print Areas,GILDAN_5000_BLACK_S_01,0,,,continue,manual,28.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,SM,,3 Print Areas,GILDAN_5000_BLACK_S_01,0,,,continue,manual,38.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,SM,,4 Print Areas,GILDAN_5000_BLACK_S_01,0,,,continue,manual,48.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,MD,,1 Print Area,GILDAN_5000_BLACK_M_02,0,,,continue,manual,18.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,MD,,2 Print Areas,GILDAN_5000_BLACK_M_02,0,,,continue,manual,28.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,MD,,3 Print Areas,GILDAN_5000_BLACK_M_02,0,,,continue,manual,38.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,MD,,4 Print Areas,GILDAN_5000_BLACK_M_02,0,,,continue,manual,48.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,LG,,1 Print Area,GILDAN_5000_BLACK_L_03,0,,,continue,manual,18.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,LG,,2 Print Areas,GILDAN_5000_BLACK_L_03,0,,,continue,manual,28.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
gildan-5000-heavy-cotton-t-shirt,,,,,,,,Black,,LG,,3 Print Areas,GILDAN_5000_BLACK_L_03,0,,,continue,manual,38.00,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0693/6425/2915/files/black_front_ac445d26-ca58-41d5-a5ff-f70c1caecc3e.jpg?v=1753357491,kg,
